is_training,render,is_slippery,n_episodes,map_name,seed,learning_rate_a,discount_factor_gamma,epsilon,epsilon_decay_rate,rewards_per_episode,sum_rewards
True,False,False,15000,4x4,20,0.01,0.01,1,0.0001,[0. 0. 1. ... 1. 1. 1.],[  0.   0.   1. ... 101. 101. 101.]
True,False,False,15000,4x4,20,0.01,0.5,1,0.0001,[1. 0. 0. ... 1. 1. 1.],[  1.   1.   1. ... 101. 101. 101.]
True,False,False,15000,4x4,20,0.01,0.95,1,0.0001,[1. 1. 0. ... 1. 1. 1.],[  1.   2.   2. ... 101. 101. 101.]
True,False,False,15000,4x4,20,0.1,0.01,1,0.0001,[1. 0. 0. ... 1. 1. 1.],[  1.   1.   1. ... 101. 101. 101.]
True,False,False,15000,4x4,20,0.1,0.5,1,0.0001,[0. 1. 0. ... 1. 1. 1.],[  0.   1.   1. ... 101. 101. 101.]
True,False,False,15000,4x4,20,0.1,0.95,1,0.0001,[0. 0. 0. ... 1. 1. 1.],[  0.   0.   0. ... 101. 101. 101.]
True,False,False,15000,4x4,20,0.9,0.01,1,0.0001,[1. 0. 1. ... 1. 1. 1.],[  1.   1.   2. ... 101. 101. 101.]
True,False,False,15000,4x4,20,0.9,0.5,1,0.0001,[1. 0. 0. ... 1. 1. 1.],[  1.   1.   1. ... 101. 101. 101.]
True,False,False,15000,4x4,20,0.9,0.95,1,0.0001,[0. 0. 0. ... 1. 1. 1.],[  0.   0.   0. ... 101. 101. 101.]
True,False,False,15000,8x8,20,0.01,0.01,1,0.0001,[0. 0. 0. ... 1. 1. 1.],[  0.   0.   0. ... 101. 101. 101.]
True,False,False,15000,8x8,20,0.01,0.5,1,0.0001,[0. 0. 0. ... 1. 1. 1.],[  0.   0.   0. ... 101. 101. 101.]
True,False,False,15000,8x8,20,0.01,0.95,1,0.0001,[0. 0. 0. ... 1. 1. 1.],[  0.   0.   0. ... 101. 101. 101.]
True,False,False,15000,8x8,20,0.1,0.01,1,0.0001,[0. 0. 0. ... 1. 1. 1.],[  0.   0.   0. ... 101. 101. 101.]
True,False,False,15000,8x8,20,0.1,0.5,1,0.0001,[0. 0. 0. ... 1. 1. 1.],[  0.   0.   0. ... 101. 101. 101.]
True,False,False,15000,8x8,20,0.1,0.95,1,0.0001,[0. 0. 0. ... 1. 1. 1.],[  0.   0.   0. ... 101. 101. 101.]
True,False,False,15000,8x8,20,0.9,0.01,1,0.0001,[0. 0. 0. ... 1. 1. 1.],[  0.   0.   0. ... 101. 101. 101.]
True,False,False,15000,8x8,20,0.9,0.5,1,0.0001,[0. 0. 0. ... 1. 1. 1.],[  0.   0.   0. ... 101. 101. 101.]
True,False,False,15000,8x8,20,0.9,0.95,1,0.0001,[0. 0. 0. ... 1. 1. 1.],[  0.   0.   0. ... 101. 101. 101.]
True,False,False,15000,9x9,20,0.01,0.01,1,0.0001,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
True,False,False,15000,9x9,20,0.01,0.5,1,0.0001,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
True,False,False,15000,9x9,20,0.01,0.95,1,0.0001,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
True,False,False,15000,9x9,20,0.1,0.01,1,0.0001,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
True,False,False,15000,9x9,20,0.1,0.5,1,0.0001,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
True,False,False,15000,9x9,20,0.1,0.95,1,0.0001,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
True,False,False,15000,9x9,20,0.9,0.01,1,0.0001,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
True,False,False,15000,9x9,20,0.9,0.5,1,0.0001,[0. 0. 0. ... 1. 1. 1.],[  0.   0.   0. ... 101. 101. 101.]
True,False,False,15000,9x9,20,0.9,0.95,1,0.0001,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
True,False,False,15000,10x10,20,0.01,0.01,1,0.0001,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
True,False,False,15000,10x10,20,0.01,0.5,1,0.0001,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
True,False,False,15000,10x10,20,0.01,0.95,1,0.0001,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
True,False,False,15000,10x10,20,0.1,0.01,1,0.0001,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
True,False,False,15000,10x10,20,0.1,0.5,1,0.0001,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
True,False,False,15000,10x10,20,0.1,0.95,1,0.0001,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
True,False,False,15000,10x10,20,0.9,0.01,1,0.0001,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
True,False,False,15000,10x10,20,0.9,0.5,1,0.0001,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
True,False,False,15000,10x10,20,0.9,0.95,1,0.0001,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
True,False,True,15000,4x4,20,0.01,0.01,1,0.0001,[1. 0. 1. ... 1. 0. 1.],[ 1.  1.  2. ... 37. 37. 38.]
True,False,True,15000,4x4,20,0.01,0.5,1,0.0001,[0. 0. 0. ... 0. 1. 1.],[ 0.  0.  0. ... 68. 69. 69.]
True,False,True,15000,4x4,20,0.01,0.95,1,0.0001,[0. 1. 1. ... 1. 1. 1.],[  0.   1.   2. ... 101. 101. 101.]
True,False,True,15000,4x4,20,0.1,0.01,1,0.0001,[1. 1. 0. ... 0. 0. 0.],[ 1.  2.  2. ... 50. 49. 48.]
True,False,True,15000,4x4,20,0.1,0.5,1,0.0001,[0. 1. 0. ... 0. 0. 1.],[ 0.  1.  1. ... 72. 71. 71.]
True,False,True,15000,4x4,20,0.1,0.95,1,0.0001,[0. 0. 0. ... 1. 1. 1.],[ 0.  0.  0. ... 98. 98. 98.]
True,False,True,15000,4x4,20,0.9,0.01,1,0.0001,[1. 0. 0. ... 1. 1. 1.],[  1.   1.   1. ... 100. 100. 100.]
True,False,True,15000,4x4,20,0.9,0.5,1,0.0001,[0. 0. 0. ... 1. 1. 1.],[  0.   0.   0. ... 101. 101. 101.]
True,False,True,15000,4x4,20,0.9,0.95,1,0.0001,[0. 0. 1. ... 1. 1. 1.],[  0.   0.   1. ... 101. 101. 101.]
True,False,True,15000,8x8,20,0.01,0.01,1,0.0001,[0. 0. 0. ... 0. 0. 0.],[ 0.  0.  0. ... 11. 11. 11.]
True,False,True,15000,8x8,20,0.01,0.5,1,0.0001,[0. 0. 0. ... 0. 0. 0.],[ 0.  0.  0. ... 13. 12. 12.]
True,False,True,15000,8x8,20,0.01,0.95,1,0.0001,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 6. 6. 6.]
True,False,True,15000,8x8,20,0.1,0.01,1,0.0001,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 8. 8. 8.]
True,False,True,15000,8x8,20,0.1,0.5,1,0.0001,[0. 0. 0. ... 0. 1. 0.],[ 0.  0.  0. ... 20. 20. 20.]
True,False,True,15000,8x8,20,0.1,0.95,1,0.0001,[0. 0. 0. ... 1. 1. 1.],[ 0.  0.  0. ... 77. 78. 78.]
True,False,True,15000,8x8,20,0.9,0.01,1,0.0001,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 1. 1. 1.]
True,False,True,15000,8x8,20,0.9,0.5,1,0.0001,[0. 0. 0. ... 1. 1. 0.],[ 0.  0.  0. ... 44. 45. 44.]
True,False,True,15000,8x8,20,0.9,0.95,1,0.0001,[0. 0. 0. ... 1. 0. 0.],[ 0.  0.  0. ... 58. 58. 58.]
True,False,True,15000,9x9,20,0.01,0.01,1,0.0001,[0. 0. 0. ... 0. 0. 0.],[ 0.  0.  0. ... 12. 11. 11.]
True,False,True,15000,9x9,20,0.01,0.5,1,0.0001,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 8. 8. 8.]
True,False,True,15000,9x9,20,0.01,0.95,1,0.0001,[0. 0. 0. ... 0. 0. 0.],[ 0.  0.  0. ... 13. 13. 13.]
True,False,True,15000,9x9,20,0.1,0.01,1,0.0001,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 5. 4. 4.]
True,False,True,15000,9x9,20,0.1,0.5,1,0.0001,[0. 0. 0. ... 0. 1. 0.],[0. 0. 0. ... 6. 7. 7.]
True,False,True,15000,9x9,20,0.1,0.95,1,0.0001,[0. 0. 0. ... 1. 0. 0.],[ 0.  0.  0. ... 86. 85. 84.]
True,False,True,15000,9x9,20,0.9,0.01,1,0.0001,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 8. 8. 7.]
True,False,True,15000,9x9,20,0.9,0.5,1,0.0001,[0. 0. 0. ... 0. 0. 0.],[ 0.  0.  0. ... 19. 18. 18.]
True,False,True,15000,9x9,20,0.9,0.95,1,0.0001,[0. 0. 0. ... 1. 1. 1.],[ 0.  0.  0. ... 48. 49. 49.]
True,False,True,15000,10x10,20,0.01,0.01,1,0.0001,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
True,False,True,15000,10x10,20,0.01,0.5,1,0.0001,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 4. 4. 4.]
True,False,True,15000,10x10,20,0.01,0.95,1,0.0001,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
True,False,True,15000,10x10,20,0.1,0.01,1,0.0001,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
True,False,True,15000,10x10,20,0.1,0.5,1,0.0001,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
True,False,True,15000,10x10,20,0.1,0.95,1,0.0001,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
True,False,True,15000,10x10,20,0.9,0.01,1,0.0001,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 5. 5. 5.]
True,False,True,15000,10x10,20,0.9,0.5,1,0.0001,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
True,False,True,15000,10x10,20,0.9,0.95,1,0.0001,[0. 0. 0. ... 0. 0. 0.],[ 0.  0.  0. ... 29. 29. 29.]
